name,rank
University of Houston,501–600
University of Iceland,501–600
Inha University,501–600
Jilin University,501–600
University of Johannesburg,501–600
Universiti Kebangsaan Malaysia,501–600
University of Kentucky,501–600
University of Kiel,501–600
Konkuk University,501–600
Kyungpook National University,501–600
University of Leicester,501–600
University of Lille,501–600
University of Ljubljana,501–600
Lovely Professional University,501–600
Memorial University of Newfoundland,501–600
University of Minho,501–600
Mississippi State University,501–600
University of Modena and Reggio Emilia,501–600
University of Murcia,501–600
University of Naples Federico II,501–600
University of New Mexico (Main campus),501–600
Northeastern University,501–600
Northern Illinois University,501–600
North-West University,501–600
Ocean University of China,501–600
Open University of Catalonia,501–600
University of Palermo,501–600
University of Pisa,501–600
Plekhanov Russian University of Economics,501–600
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),501–600
Portland State University,501–600
University of Porto,501–600
Rensselaer Polytechnic Institute,501–600
Rochester Institute of Technology,501–600
University of Rome III,501–600
RUDN University,501–600
Ryerson University,501–600
University of Salento,501–600
University of Salerno,501–600
University of Saskatchewan,501–600
University of Sassari,501–600
University of Seville,501–600
Sheffield Hallam University,501–600
University of Siena,501–600
Soochow University,501–600
South Ural State University,501–600
Tallinn University of Technology,501–600
University of Texas at Arlington,501–600
Thammasat University,501–600
Tomas Bata University in Zlín,501–600
TU Braunschweig,501–600
Tulane University,501–600
University of Tunis El Manar,501–600
Universiti Malaysia Terengganu (UMT),501–600
University of Urbino Carlo Bo,501–600
Verona University,501–600
Wake Forest University,501–600
University of Westminster,501–600
William & Mary,501–600
University of Wisconsin-Milwaukee,501–600
Xi’an Jiaotong-Liverpool University,501–600
University of Zaragoza,501–600
Zayed University,501–600
Zhejiang University of Finance and Economics,501–600
University of A Coruña,601+
AGH University of Science and Technology,601+
Universitas Airlangga,601+
Aix-Marseille University,601+
University of Alcalá,601+
Alexandru Ioan Cuza University,601+
Al-Farabi Kazakh National University,601+
University of Alicante,601+
University of Almería,601+
Amity University,601+
Amrita Vishwa Vidyapeetham,601+
Babeş-Bolyai University,601+
Bandung Institute of Technology (ITB),601+
