name,rank
University of New Brunswick UNB,601–800
University of North Carolina Wilmington,601–800
Northeast Normal University,601–800
NOVA University of Lisbon,601–800
Óbuda University,601–800
Ocean University of China,601–800
Oklahoma State University,601–800
Old Dominion University,601–800
Oran 1 University,601–800
Örebro University,601–800
University of Oviedo,601–800
Palacký University Olomouc,601–800
Panjab University,601–800
University of Patras,601–800
Plekhanov Russian University of Economics,601–800
Pontifical Catholic University of Peru,601–800
University of Pretoria,601–800
Public University of Navarre,601–800
University of Puerto Rico,601–800
University of the Punjab,601–800
Pusan National University,601–800
Universiti Putra Malaysia,601–800
Renmin University of China,601–800
University Rey Juan Carlos,601–800
Sabancı University,601–800
Saint Louis University,601–800
Sakarya University,601–800
University of Salamanca,601–800
University of Salento,601–800
Samara National Research University (Samara University),601–800
San Diego State University,601–800
University of Science and Technology Beijing,601–800
University of Seoul,601–800
​Shahid Chamran University of Ahvaz,601–800
Shahrekord University,601–800
Shahrood University of Technology,601–800
Shanghai University,601–800
Shiraz University,601–800
Shiraz University of Technology,601–800
Siberian Federal University,601–800
Sogang University,601–800
South China Normal University,601–800
Southeast University,601–800
University of the South Pacific,601–800
South Ural State University,601–800
University of Split,601–800
Stevens Institute of Technology,601–800
Suez Canal University,601–800
University of Szeged,601–800
Tallinn University of Technology,601–800
Tanta University,601–800
University of Tehran,601–800
University of Texas at El Paso,601–800
Tokat Gaziosmanpaşa University,601–800
TU Braunschweig,601–800
Umm Al-Qura University,601–800
United Arab Emirates University,601–800
Universiti Utara Malaysia,601–800
University of Valparaíso,601–800
Verona University,601–800
"Vietnam National University, Hanoi",601–800
University of Vigo,601–800
VIT University,601–800
Waseda University,601–800
University of the Witwatersrand,601–800
Worcester Polytechnic Institute,601–800
Xiangtan University,601–800
University of Zaragoza,601–800
Zhejiang University of Technology,601–800
Zonguldak Bülent Ecevit University,601–800
Åbo Akademi University,801–1000
"Adam Mickiewicz University, Poznań",801–1000
Addis Ababa University,801–1000
Adolfo Ibáñez University,801–1000
AGH University of Science and Technology,801–1000
Universitas Airlangga,801–1000
Ajou University,801–1000
Alexandria University,801–1000
Al-Farabi Kazakh National University,801–1000
University of Alicante,801–1000
American University in Cairo,801–1000
Amity University,801–1000
University of Antioquia,801–1000
Atılım University,801–1000
Bandung Institute of Technology (ITB),801–1000
Bangladesh University of Engineering and Technology,801–1000
Baylor University,801–1000
Beijing Jiaotong University,801–1000
Beijing University of Technology,801–1000
Ben-Gurion University of the Negev,801–1000
Bharathiar University,801–1000
"Birla Institute of Technology and Science, Pilani",801–1000
Blida 1 University,801–1000
Bu-Ali Sina University,801–1000
University of Bucharest,801–1000
Budapest University of Technology and Economics,801–1000
University of Calcutta,801–1000
Carlos III University of Madrid,801–1000
Central University of Finance and Economics,801–1000
Chapman University,801–1000
"University of Chemistry and Technology, Prague",801–1000
Chiang Mai University,801–1000
Chiba University,801–1000
China University of Petroleum (East China),801–1000
Chonnam National University,801–1000
Comenius University in Bratislava,801–1000
University of Costa Rica,801–1000
Cukurova University,801–1000
Czech Technical University in Prague,801–1000
Damghan University,801–1000
De La Salle University,801–1000
University of Delhi,801–1000
University of Dhaka,801–1000
Durban University of Technology,801–1000
University of Engineering & Technology (UET) Lahore,801–1000
Escuela Politécnica Nacional,801–1000
Universidade Estadual Paulista (Unesp),801–1000
Far Eastern Federal University,801–1000
Federal University of Lavras,801–1000
Federal University of Minas Gerais,801–1000
Federal University of Pernambuco,801–1000
Universidade Federal do Rio Grande do Sul,801–1000
Federal University of Rio Grande do Norte (UFRN),801–1000
Universidade Federal de Santa Catarina,801–1000
Federal University of Santa Maria,801–1000
Federal University of São Carlos,801–1000
Universidade Federal de São Paulo (UNIFESP),801–1000
Federico Santa María Technical University,801–1000
Ferdowsi University of Mashhad,801–1000
University of La Frontera,801–1000
Universidad de las Fuerzas Armadas – ESPE,801–1000
University of Gdańsk,801–1000
Gebze Technical University,801–1000
Georgia Southern University,801–1000
Government College University Lahore,801–1000
Gyeongsang National University,801–1000
Hacettepe University,801–1000
Hakim Sabzevari University,801–1000
Hanoi University of Science and Technology,801–1000
Hasanuddin University,801–1000
Université Hassan II de Casablanca,801–1000
Université Polytechnique Hauts-de-France,801–1000
Huaqiao University,801–1000
University of Ilorin,801–1000
Indian Institute of Technology Bhubaneswar,801–1000
Indian Institute of Technology (Indian School of Mines) Dhanbad,801–1000
Indian Institute of Technology Ropar,801–1000
Indian Institute of Science Education and Research Bhopal,801–1000
University of Indonesia,801–1000
The Islamia University of Bahawalpur,801–1000
Istanbul Technical University,801–1000
Jadavpur University,801–1000
Jeju National University,801–1000
Jianghan University,801–1000
Kanazawa University,801–1000
Kangwon National University,801–1000
Khon Kaen University,801–1000
K.N. Toosi University of Technology,801–1000
Kochi University,801–1000
Kwame Nkrumah University of Science and Technology,801–1000
Kwansei Gakuin University,801–1000
Kyoto Sangyo University,801–1000
University of Las Palmas de Gran Canaria,801–1000
Lebanese University,801–1000
University of Leoben,801–1000
University of Lethbridge,801–1000
Lobachevsky State University of Nizhni Novgorod,801–1000
Mahatma Gandhi University,801–1000
Mahidol University,801–1000
Makerere University,801–1000
University of Malaga,801–1000
University of Marrakech Cadi Ayyad,801–1000
University of Mazandaran,801–1000
University of Memphis,801–1000
Mendel University in Brno,801–1000
Miguel Hernández University of Elche,801–1000
University of Minho,801–1000
Moscow Aviation Institute,801–1000
Moscow Power Engineering Institute,801–1000
University of Murcia,801–1000
Mustansiriyah University,801–1000
National Chung Hsing University,801–1000
National University of Córdoba,801–1000
National University of Cuyo,801–1000
National Institute of Technology Rourkela,801–1000
National Taiwan Normal University,801–1000
Nicolaus Copernicus University in Toruń,801–1000
Normandy University,801–1000
University of North Carolina at Charlotte,801–1000
University of North Carolina at Greensboro,801–1000
North China Electric Power University,801–1000
"University of the North, Colombia",801–1000
Northwest University,801–1000
University of Novi Sad,801–1000
Novosibirsk State Technical University,801–1000
Oakland University,801–1000
Okayama University,801–1000
Osaka City University,801–1000
Osaka Prefecture University,801–1000
Osmania University,801–1000
Panthéon-Sorbonne University – Paris 1,801–1000
University of Pau and Pays de l’Adour,801–1000
Pondicherry University,801–1000
Pontifical Catholic University of Rio Grande do Sul (PUCRS),801–1000
Pontifical Catholic University of Valparaíso,801–1000
Portland State University,801–1000
Port Said University,801–1000
Poznań University of Technology,801–1000
University of Primorska,801–1000
Qassim University,801–1000
Razi University,801–1000
Riga Technical University,801–1000
Roskilde University,801–1000
Universiti Sains Malaysia,801–1000
Saitama University,801–1000
San Jose State University,801–1000
University of Sargodha,801–1000
Savitribai Phule Pune University,801–1000
Universitas Sebelas Maret,801–1000
Semnan University,801–1000
Seoul National University of Science and Technology (SeoulTech),801–1000
University of Seville,801–1000
University of Sfax,801–1000
Shahid Bahonar University of Kerman,801–1000
Shahid Beheshti University,801–1000
Shahid Rajaee Teacher Training University,801–1000
Shanghai University of Finance and Economics (SUFE),801–1000
Shinshu University,801–1000
Silesian University of Technology,801–1000
University of Sousse,801–1000
Southern Federal University,801–1000
Southwest Jiaotong University,801–1000
Southwest Petroleum University,801–1000
Sri Venkateswara University,801–1000
State University of Ponta Grossa,801–1000
St Petersburg Electrotechnical University (LETI),801–1000
Süleyman Demirel University,801–1000
Sumy State University,801–1000
Suranaree University of Technology,801–1000
Taif University,801–1000
University of Talca,801–1000
Tamkang University,801–1000
University of Tarapacá,801–1000
Technical University of Cluj-Napoca,801–1000
Institut Teknologi Sepuluh Nopember,801–1000
Texas State University,801–1000
Tezpur University,801–1000
Tokyo University of Agriculture and Technology,801–1000
Tokyo Metropolitan University,801–1000
Tokyo University of Science,801–1000
Tomas Bata University in Zlín,801–1000
Tomsk State University of Control Systems and Radioelectronics,801–1000
Toyohashi University of Technology (TUT),801–1000
Tribhuvan University,801–1000
Tunghai University,801–1000
Universiti Tunku Abdul Rahman (UTAR),801–1000
University of Tyumen,801–1000
Universiti Malaysia Terengganu (UMT),801–1000
Universiti Tun Hussein Onn Malaysia (UTHM),801–1000
Urmia University,801–1000
University of Valladolid,801–1000
Vietnam National University (Ho Chi Minh City),801–1000
Vilnius University,801–1000
Vilnius Gediminas Technical University (Vilnius Tech),801–1000
Warsaw University of Technology,801–1000
Western Michigan University,801–1000
University of Wrocław,801–1000
Xidian University,801–1000
University of Abou Bekr Belkaïd Tlemcen,1001+
Acharya Nagarjuna University,1001+
Akdeniz University,1001+
Akita University,1001+
Aksaray University,1001+
Alexandru Ioan Cuza University,1001+
Alzahra University,1001+
